CreatedDate,ClosedDate,Time,Longitude,Latitude,Agency,Borough
2015-09-18,2015-11-24,23,-73.8439778733441,40.721453503516,TLC,QUEENS
2015-10-31,NA,23,-73.9668476497073,40.6746957813304,DOHMH,BROOKLYN
2015-11-19,2015-11-22,17,-73.9000928692486,40.8572099657148,HPD,BRONX
2015-12-16,2015-12-17,22,-73.9903054870693,40.7273447590267,NYPD,MANHATTAN
2015-10-30,2015-10-30,18,-73.7153765941257,40.7350355640971,NYPD,QUEENS
2015-09-02,2017-04-21,13,-73.9521468880045,40.5781563394639,DOB,BROOKLYN
2015-04-09,2015-04-17,2,-73.9398961826691,40.7265417352065,DEP,BROOKLYN
2015-02-26,2015-03-10,17,-73.9898934258976,40.6371762127134,DSNY,BROOKLYN
2015-05-05,2015-06-09,14,-73.9037525173774,40.6914473366274,DOT,BROOKLYN
2015-04-02,2015-04-03,23,-73.9132969244518,40.7723675789285,NYPD,QUEENS
2015-02-11,2015-02-19,18,-74.1408525268757,40.6072901531132,DSNY,STATEN ISLAND
2015-08-28,2015-08-28,21,-73.9033891853841,40.7455956817524,DOT,QUEENS
2015-03-15,2015-03-15,1,-73.9818348470169,40.605343875063,NYPD,BROOKLYN
2015-09-10,2015-10-13,0,-73.9744202879284,40.6789795621881,DOHMH,BROOKLYN
2015-12-04,2015-12-30,24,-73.9256507217808,40.6890920855596,HPD,BROOKLYN
2015-06-20,2015-06-20,24,-73.7588069501241,40.6811834440015,DSNY,QUEENS
2015-06-04,2015-06-04,21,-73.91516330737,40.7781768354111,NYPD,QUEENS
2015-03-22,2015-03-22,13,-73.9033207665122,40.8200987321508,NYPD,BRONX
2015-11-23,2015-11-24,8,-73.9488214777812,40.830706040575,DEP,MANHATTAN
2015-01-14,2015-01-14,1,-73.9622606403542,40.798114917264,DEP,MANHATTAN
2015-06-23,2015-06-23,11,-73.9221503029383,40.8365867638163,NYPD,BRONX
2015-10-10,2015-10-13,20,-73.9427778975607,40.7991224414585,DSNY,MANHATTAN
2015-09-28,2015-10-08,22,-73.9873465813514,40.6914566961153,TLC,BROOKLYN
2015-05-18,2015-05-18,24,-73.9065733633033,40.6933353185935,NYPD,BROOKLYN
2015-08-21,2015-08-20,13,-73.7723267619076,40.5958231486318,DOT,QUEENS
2015-09-01,2015-09-02,22,-73.9570739113014,40.6024332995076,DOB,BROOKLYN
2015-04-04,2015-04-04,7,-74.0823303833876,40.6083982292314,NYPD,STATEN ISLAND
2015-12-07,2015-12-07,8,-73.9534296292243,40.7158516781485,DOB,BROOKLYN
2015-12-04,2015-12-21,13,-73.8648813432799,40.8526700398396,HPD,BRONX
2015-11-08,2015-11-08,2,-73.9882532526608,40.7234936736955,NYPD,MANHATTAN
2015-06-16,2015-06-16,2,-73.9034512994345,40.8820331132226,NYPD,BRONX
2015-09-27,2015-09-29,11,-73.9587936196866,40.6926412444927,DOB,BROOKLYN
2015-03-11,NA,16,-73.8815039909316,40.7135164712289,DPR,QUEENS
2015-06-11,2015-06-11,8,-73.9223698572479,40.6701043145463,NYPD,BROOKLYN
2015-09-16,2015-09-16,7,-73.8827147149622,40.8556977447827,NYPD,BRONX
2015-10-15,2015-10-15,15,-73.9432233760922,40.6113588581015,NYPD,BROOKLYN
2015-10-01,2015-10-01,13,-73.95197743543,40.813830130371,NYPD,MANHATTAN
2015-12-21,2015-12-29,11,-73.8689951546152,40.7626175675323,HPD,QUEENS
2015-06-07,2015-06-08,23,-73.8533756046488,40.7313442484413,NYPD,QUEENS
2015-10-18,NA,21,-73.9878587426302,40.7502577171096,DOT,MANHATTAN
2015-10-30,2015-10-30,16,-73.9851080321717,40.7687322657196,NYPD,MANHATTAN
2015-08-20,2015-08-26,21,-73.8950161180038,40.8672071453209,HPD,BRONX
2015-07-05,2015-07-06,22,-73.8948639256917,40.6570310342903,NYPD,BROOKLYN
2015-11-18,2015-11-20,24,-73.8510825234498,40.693447068935,DSNY,QUEENS
2015-10-17,2015-10-21,3,-73.9567324729409,40.6402920837762,HPD,BROOKLYN
2015-07-30,2015-07-31,19,-73.8374334043663,40.7067654403609,DSNY,QUEENS
2015-06-10,2015-06-10,1,-73.9847169851331,40.7265399392128,NYPD,MANHATTAN
2015-06-21,2015-06-22,23,-73.9246775651019,40.835548196247,NYPD,BRONX
2015-03-30,2015-03-30,24,-73.9294764745669,40.6687008195374,NYPD,BROOKLYN
2015-10-20,2015-10-24,22,-73.924939772003,40.6095395524454,HPD,BROOKLYN
2015-06-28,NA,18,-73.9867785716035,40.6281427988517,DPR,BROOKLYN
